AltAGL,E1 RPM,IAS,LatAc,NormAc,Pitch,Roll
1.0,1248.1,0.0,-0.02,-0.01,1.58,0.73
0.0,1248.6,0.0,0.0,-0.01,1.58,0.71
0.0,1254.1,0.0,-0.01,0.04,1.66,0.71
0.0,1254.5,0.0,-0.01,-0.01,1.58,0.68
0.0,1260.2,0.0,-0.01,-0.01,1.59,0.76
0.0,1260.2,0.0,-0.01,0.0,1.55,0.73
2.0,1263.4,0.0,-0.01,0.01,1.55,0.77
0.0,1259.0,0.0,-0.01,0.0,1.61,0.73
0.0,1262.6,0.0,-0.02,0.0,1.65,0.74
0.0,1264.5,0.0,-0.03,0.04,1.68,0.76
0.0,1269.2,0.0,-0.01,-0.02,1.66,0.7
0.0,1269.2,0.0,-0.02,0.02,1.75,0.79
0.0,1271.0,0.0,-0.01,-0.03,1.7,0.74
1.0,1270.1,0.0,-0.02,-0.01,1.71,0.69
1.0,1267.2,0.0,-0.02,0.01,1.75,0.76
2.0,1255.5,0.0,-0.03,0.0,1.76,0.77
2.0,1243.4,0.0,-0.03,0.0,1.74,0.71
2.0,1229.2,0.0,-0.01,0.01,1.74,0.73
2.0,1224.0,0.0,0.01,-0.03,1.71,0.75
2.0,1225.4,0.0,-0.01,0.0,1.76,0.71
2.0,1224.7,0.0,-0.02,-0.01,1.77,0.75
1.0,1226.9,0.0,0.0,0.0,1.74,0.75
4.0,1225.0,0.0,-0.02,0.01,1.78,0.73
3.0,1230.1,0.0,0.0,-0.02,1.77,0.8
3.0,1233.6,0.0,0.0,0.0,1.76,0.75
2.0,1198.0,0.0,0.0,0.04,1.79,0.82
2.0,1036.6,0.0,-0.01,-0.03,1.86,0.73
2.0,955.6,0.0,-0.01,0.0,1.9,0.77
1.0,938.2,0.0,-0.01,0.01,1.9,0.76
1.0,933.4,0.0,-0.01,0.01,1.92,0.74
0.0,933.9,0.0,-0.01,-0.03,1.85,0.75
0.0,929.6,0.0,-0.01,0.01,1.87,0.77
0.0,926.4,0.0,-0.01,-0.02,1.9,0.77
0.0,924.0,0.0,-0.02,0.01,1.96,0.75
0.0,923.4,0.0,-0.01,0.01,1.94,0.78
0.0,926.6,0.0,-0.01,-0.03,1.93,0.74
0.0,929.8,0.0,-0.01,0.01,1.92,0.74
0.0,932.6,0.0,-0.02,-0.01,1.9,0.76
0.0,937.6,0.0,-0.01,0.01,1.93,0.77
1.0,938.5,0.0,-0.01,-0.05,1.88,0.76
0.0,934.7,0.0,-0.01,0.0,1.9,0.77
0.0,932.1,0.0,-0.01,-0.01,1.9,0.77
0.0,927.6,0.0,-0.01,0.01,1.91,0.77
0.0,924.5,0.0,-0.02,-0.01,1.96,0.77
0.0,930.3,0.0,0.0,0.01,1.96,0.81
0.0,932.0,0.0,-0.01,-0.01,1.93,0.78
2.0,935.5,0.0,-0.01,0.0,1.94,0.77
2.0,930.3,0.0,-0.01,0.03,1.97,0.76
2.0,930.3,0.0,-0.02,0.0,1.94,0.8
2.0,934.0,0.0,-0.01,-0.01,1.93,0.78
2.0,934.2,0.0,-0.01,-0.01,1.91,0.77
2.0,933.1,0.0,-0.01,0.01,1.91,0.8
4.0,936.2,0.0,-0.02,-0.02,1.93,0.78
4.0,936.6,0.0,-0.01,0.0,1.92,0.77
4.0,940.7,0.0,-0.01,0.03,1.91,0.8
5.0,943.7,0.0,-0.01,0.0,1.87,0.8
4.0,944.6,0.0,-0.01,0.01,1.89,0.78
4.0,945.9,0.0,-0.02,-0.04,1.89,0.78
4.0,943.4,0.0,-0.01,0.01,1.91,0.8
4.0,943.6,0.0,-0.01,0.01,1.92,0.79
4.0,945.1,0.0,-0.02,-0.01,1.89,0.78
3.0,943.7,0.0,-0.01,-0.01,1.88,0.78
3.0,938.3,0.0,-0.01,0.0,1.88,0.78
3.0,936.2,0.0,-0.01,0.02,1.94,0.8
3.0,932.3,0.0,-0.01,0.0,1.93,0.8
2.0,930.5,0.0,-0.01,0.0,1.93,0.78
2.0,934.4,0.0,-0.01,-0.01,1.92,0.79
2.0,937.9,0.0,-0.02,0.0,1.92,0.79
2.0,937.8,0.0,-0.01,0.01,1.93,0.77
1.0,939.7,0.0,-0.01,0.03,1.93,0.81
1.0,940.0,0.0,-0.02,-0.04,1.89,0.78
1.0,943.0,0.0,-0.01,0.02,1.93,0.79
1.0,941.0,0.0,0.0,0.0,1.91,0.77
