AltAGL,E1 RPM,IAS,LatAc,NormAc,Pitch,Roll
0.0,2224.0,0.0,0.02,0.03,1.81,0.54
0.0,2329.1,0.0,-0.02,0.04,1.74,0.55
0.0,2341.2,0.0,-0.02,0.05,1.72,0.54
0.0,2354.5,0.0,-0.02,0.01,1.76,0.55
0.0,2340.6,0.0,0.01,-0.04,1.74,0.48
0.0,2342.8,0.0,0.05,-0.05,2.07,0.63
0.0,2338.8,0.0,-0.01,-0.03,2.29,0.74
0.0,2352.3,0.0,0.02,-0.03,2.35,0.56
0.0,2351.8,0.0,0.0,0.03,2.66,0.81
0.0,2363.9,0.0,0.0,0.09,2.72,0.55
0.0,2362.7,0.0,0.01,0.04,2.53,0.67
0.0,2372.6,0.0,-0.01,0.0,2.71,0.43
0.0,2366.4,16.77,0.0,0.08,2.82,0.42
0.0,2378.2,25.36,-0.03,0.01,2.58,0.47
0.0,2372.8,27.93,0.1,-0.01,2.44,-0.07
0.0,2370.9,33.39,-0.05,-0.02,2.61,-0.1
0.0,2372.7,36.89,0.06,-0.02,2.71,0.02
0.0,2382.7,42.36,-0.04,-0.03,2.78,-0.13
0.0,2380.7,44.5,-0.01,-0.04,3.04,0.24
0.0,2389.9,46.45,0.01,-0.04,5.73,0.3
0.0,2384.0,47.46,0.02,-0.03,8.02,0.0
2.0,2392.8,48.71,0.02,0.1,10.06,-0.19
6.0,2393.1,48.46,0.03,-0.01,10.34,1.71
14.0,2396.9,52.29,0.0,0.09,11.03,1.59
28.0,2399.3,55.69,0.0,0.01,10.98,2.03
37.0,2401.2,56.75,0.0,-0.01,11.23,-0.38
46.0,2401.0,55.99,0.01,0.05,12.97,1.69
57.0,2399.9,56.68,-0.08,-0.02,13.74,-1.11
71.0,2393.8,55.19,-0.03,0.06,14.78,0.45
85.0,2402.2,55.7,-0.01,-0.11,14.39,0.89
98.0,2397.4,55.04,0.05,-0.09,14.24,3.96
109.0,2390.0,53.33,-0.01,-0.14,12.8,1.03
116.0,2392.7,53.66,-0.02,-0.06,9.89,-0.46
122.0,2393.1,55.36,0.0,-0.2,8.14,3.15
127.0,2395.6,58.12,0.01,-0.09,8.75,-1.03
131.0,2395.4,56.42,-0.01,-0.06,9.37,-2.21
135.0,2397.0,56.54,-0.03,0.18,9.9,-6.01
144.0,2400.0,57.17,-0.01,0.01,8.82,-5.75
153.0,2399.2,59.36,-0.04,-0.04,8.82,-0.62
169.0,2401.2,59.59,-0.01,0.06,8.24,1.15
186.0,2422.0,61.06,0.0,0.19,8.72,-1.82
199.0,2413.1,63.16,-0.06,0.0,8.98,-1.03
211.0,2411.9,65.56,0.05,-0.21,8.12,5.35
218.0,2419.4,64.42,0.06,-0.18,7.95,5.99
220.0,2422.7,65.79,-0.01,-0.01,8.32,2.04
222.0,2421.4,69.56,-0.04,0.13,7.87,-1.45
228.0,2423.9,69.7,0.01,0.04,7.7,-2.2
237.0,2430.9,70.11,0.01,0.1,8.51,0.09
250.0,2431.7,71.22,0.03,-0.08,8.57,4.84
260.0,2433.4,73.32,-0.04,-0.04,9.51,1.94
276.0,2448.3,74.58,-0.04,0.0,10.63,0.56
287.0,2438.3,72.67,-0.01,-0.03,10.51,2.72
300.0,2432.1,70.1,0.0,-0.13,9.04,4.93
310.0,2434.6,71.14,-0.03,-0.07,8.72,5.93
317.0,2436.2,72.79,-0.02,-0.06,8.49,5.05
323.0,2435.0,74.06,0.02,0.02,8.03,4.34
334.0,2443.1,74.65,-0.03,0.02,7.9,0.58
340.0,2456.3,75.85,-0.01,0.04,8.23,0.18
348.0,2453.2,75.99,0.0,0.09,9.94,-0.7
361.0,2456.1,76.24,-0.03,0.01,10.99,-0.55
372.0,2445.7,75.71,-0.02,0.03,11.55,-0.45
385.0,2454.2,76.46,0.0,0.03,11.83,0.37
401.0,2443.4,75.05,0.02,-0.02,11.94,1.82
415.0,2444.6,73.89,-0.02,-0.05,11.7,0.64
429.0,2437.3,72.62,-0.02,-0.07,11.63,3.13
442.0,2443.8,72.88,0.0,0.06,11.24,2.05
455.0,2439.0,73.75,0.01,-0.04,10.78,2.81
464.0,2437.1,71.66,-0.03,0.0,11.1,-1.53
477.0,2428.0,71.42,-0.03,-0.05,10.38,-4.02
489.0,2423.0,69.65,0.02,-0.09,10.47,-1.46
500.0,2429.1,71.1,0.02,-0.13,10.33,1.23
510.0,2438.7,72.02,0.02,-0.15,10.76,1.57
524.0,2436.7,72.84,0.05,-0.09,10.18,2.26
531.0,2425.9,70.47,-0.04,0.01,9.69,-3.24
537.0,2424.7,70.49,-0.03,0.05,9.02,-5.25
543.0,2420.8,69.52,-0.02,-0.18,7.6,-5.23
554.0,2435.0,74.59,-0.03,0.01,7.57,3.82
560.0,2441.3,75.53,0.0,0.01,8.01,12.58
567.0,2446.4,75.91,-0.06,0.05,8.05,17.51
580.0,2451.2,77.14,0.02,0.15,6.94,22.2
591.0,2457.1,77.98,0.0,-0.07,5.72,22.79
599.0,2457.2,78.72,0.03,0.18,6.95,20.0
609.0,2461.2,77.93,-0.04,0.12,8.28,18.26
619.0,2454.1,76.89,0.03,0.03,8.24,23.12
633.0,2461.4,77.27,0.04,0.02,9.22,23.19
646.0,2459.2,77.57,-0.02,0.11,11.81,18.22
657.0,2456.9,77.02,0.0,0.0,12.84,20.75
671.0,2446.4,75.96,-0.02,0.08,12.11,22.74
684.0,2440.7,75.44,-0.03,-0.02,11.12,24.3
697.0,2439.9,75.83,0.0,0.06,10.63,25.15
705.0,2445.0,74.51,-0.01,0.01,10.2,24.2
711.0,2442.1,75.65,0.0,0.07,9.13,22.08
717.0,2438.1,74.18,0.0,0.07,7.78,19.24
727.0,2439.8,74.17,-0.01,-0.01,7.51,18.3
747.0,2457.2,78.61,0.07,-0.01,8.61,14.43
758.0,2455.9,79.09,0.0,0.01,10.7,10.11
771.0,2453.7,79.62,-0.04,-0.04,10.28,6.68
782.0,2408.6,77.97,0.0,-0.31,6.75,8.62
785.0,2323.4,78.12,-0.03,-0.11,4.98,7.72
781.0,2237.4,78.9,-0.03,-0.14,2.9,6.3
773.0,1988.4,78.9,0.0,0.08,2.32,9.48
755.0,1851.1,79.3,0.0,0.05,2.34,26.47
749.0,1827.9,78.11,0.07,0.07,2.05,29.44
742.0,1833.6,77.13,0.04,0.2,1.45,28.55
742.0,1885.8,76.62,0.08,0.24,2.23,27.55
743.0,1925.8,78.26,0.0,0.17,3.25,30.1
745.0,1939.6,80.05,-0.06,-0.01,3.41,30.96
742.0,1940.9,81.4,-0.03,0.02,2.82,29.09
739.0,1948.6,80.26,0.01,0.07,3.34,26.26
736.0,2003.9,78.64,-0.05,0.1,3.36,24.95
727.0,2057.5,80.98,-0.02,0.07,4.19,16.57
725.0,2058.5,80.56,0.0,0.08,4.33,12.02
722.0,2053.1,80.43,0.0,0.01,4.08,6.34
720.0,2045.9,79.82,-0.01,0.01,3.88,2.86
717.0,2048.0,80.37,0.01,-0.03,2.9,2.3
714.0,2055.8,80.98,0.0,0.17,4.65,1.56
715.0,2068.2,81.34,0.05,0.25,8.23,2.15
723.0,2077.8,79.68,0.04,0.07,8.67,3.25
735.0,2077.0,79.17,-0.03,0.03,8.2,0.32
746.0,2063.2,77.41,0.01,-0.03,7.55,-0.51
754.0,2060.8,76.31,0.0,-0.11,7.22,-0.78
762.0,2054.4,76.13,-0.02,-0.05,6.86,-0.31
768.0,2052.8,76.07,-0.04,-0.19,6.46,0.26
774.0,2047.7,74.49,-0.03,0.0,5.88,0.78
774.0,2046.2,75.76,0.04,-0.09,5.1,3.16
775.0,2045.5,76.13,-0.07,-0.05,5.03,1.51
773.0,2042.9,77.45,0.03,0.01,4.6,0.42
770.0,2043.6,75.72,-0.03,0.09,3.64,0.54
768.0,2042.2,77.36,-0.04,-0.12,3.15,0.65
767.0,2047.7,78.72,-0.05,0.09,4.44,-0.64
766.0,2051.7,77.75,-0.03,0.1,3.64,0.89
765.0,2055.4,79.82,-0.02,0.25,4.2,-1.96
766.0,2059.8,79.73,0.0,-0.06,3.11,-0.66
766.0,2060.5,79.72,-0.05,0.09,4.25,-0.38
772.0,2054.1,79.21,-0.08,0.02,3.93,-2.53
780.0,2057.7,81.26,-0.04,0.0,4.36,-2.59
788.0,2049.3,78.02,-0.02,-0.07,4.16,0.03
797.0,2045.4,77.83,-0.05,-0.11,3.09,-1.8
800.0,2050.8,78.38,0.0,-0.12,2.65,-1.05
800.0,2064.1,79.94,-0.03,0.03,4.3,-0.26
799.0,2063.6,79.93,-0.04,-0.04,4.34,-0.88
799.0,2061.1,80.13,-0.02,0.03,4.34,-0.24
802.0,2072.4,80.83,0.0,0.03,4.74,0.62
805.0,2069.1,80.64,-0.02,0.08,4.26,1.96
811.0,2061.8,78.85,-0.06,-0.07,3.44,-1.91
814.0,2064.6,79.53,0.03,0.02,4.75,-0.3
815.0,2062.2,80.2,0.0,-0.25,3.11,0.43
815.0,2067.8,81.53,0.02,-0.08,2.49,0.94
813.0,2081.1,82.7,-0.02,0.0,3.08,1.97
810.0,2080.1,83.86,-0.03,-0.03,3.02,0.75
809.0,2075.3,82.51,-0.02,-0.08,2.86,0.08
