AltAGL,E1 RPM,IAS,LatAc,NormAc,Pitch,Roll
0.0,1224.8,0.0,-0.01,-0.03,0.56,0.49
0.0,1222.3,0.0,-0.01,0.0,0.6,0.46
0.0,1222.3,0.0,-0.01,0.0,0.6,0.46
0.0,1215.6,0.0,-0.01,-0.01,0.58,0.47
0.0,1217.1,0.0,-0.01,-0.04,0.54,0.44
0.0,1218.8,0.0,-0.02,0.0,0.59,0.43
0.0,1222.3,0.0,0.0,-0.04,0.54,0.42
1.0,1221.4,0.0,-0.02,0.0,0.54,0.48
0.0,1221.6,0.0,0.01,0.0,0.6,0.51
0.0,1221.3,0.0,0.0,0.03,0.59,0.46
0.0,1222.1,0.0,-0.02,-0.01,0.55,0.48
0.0,1221.1,0.0,0.0,0.0,0.53,0.48
0.0,1219.6,0.0,0.01,-0.04,0.49,0.43
0.0,1222.4,0.0,0.01,0.04,0.56,0.47
0.0,1225.6,0.0,-0.01,0.0,0.57,0.53
0.0,1224.4,0.0,-0.03,-0.03,0.52,0.46
1.0,1222.4,0.0,0.01,0.01,0.53,0.49
1.0,1218.9,0.0,-0.01,-0.02,0.54,0.52
1.0,1222.7,0.0,-0.01,0.01,0.48,0.46
1.0,1225.3,0.0,0.0,-0.05,0.45,0.46
1.0,1224.8,0.0,-0.01,0.02,0.56,0.45
1.0,1221.7,0.0,0.0,-0.04,0.45,0.43
1.0,1226.7,0.0,-0.01,0.01,0.57,0.52
1.0,1231.9,0.0,-0.01,0.0,0.57,0.47
1.0,1231.6,0.0,-0.01,0.03,0.65,0.47
1.0,1230.9,0.0,0.0,-0.04,0.56,0.46
0.0,1229.8,0.0,-0.01,-0.02,0.51,0.44
0.0,1232.8,0.0,0.0,-0.04,0.51,0.45
0.0,1234.9,0.0,0.0,0.05,0.58,0.48
0.0,1232.4,0.0,-0.02,-0.04,0.51,0.46
0.0,1237.3,0.0,-0.01,0.01,0.6,0.48
0.0,1235.8,0.0,-0.01,-0.03,0.58,0.49
0.0,1238.2,0.0,0.0,0.0,0.56,0.49
0.0,1245.3,0.0,-0.01,0.01,0.57,0.47
0.0,1242.9,0.0,-0.02,0.01,0.6,0.46
