AltAGL,E1 RPM,IAS,LatAc,NormAc,Pitch,Roll
777.0,2417.7,71.5,-0.02,0.0,6.46,-20.52
781.0,2423.4,72.66,-0.03,0.08,6.04,-21.01
784.0,2386.3,73.98,-0.04,-0.08,4.56,-25.19
790.0,2260.6,74.63,-0.01,-0.15,2.92,-24.22
785.0,2187.5,75.85,-0.06,-0.17,-0.38,-20.18
775.0,2136.9,76.45,-0.03,-0.13,-1.83,-13.68
757.0,2137.9,80.44,-0.05,-0.07,-1.78,-4.05
740.0,2143.0,81.98,-0.08,0.07,-1.76,-1.15
726.0,2145.6,81.02,0.01,0.07,-1.89,-2.04
713.0,2160.2,82.77,0.01,0.25,0.35,0.3
707.0,2171.4,84.6,-0.03,0.13,1.26,0.78
704.0,2173.2,84.73,-0.03,0.14,2.63,-0.02
707.0,2181.7,86.27,-0.03,0.12,3.48,1.85
713.0,2182.2,87.07,-0.07,-0.01,4.1,2.52
717.0,2173.4,84.59,-0.03,-0.15,4.13,0.78
722.0,2176.1,85.72,-0.01,0.01,5.08,2.3
728.0,2176.9,85.27,-0.05,0.06,6.3,1.51
738.0,2171.4,84.54,-0.01,0.01,6.59,0.37
757.0,2157.9,81.76,0.01,-0.02,6.15,-3.21
768.0,2151.7,80.93,-0.05,-0.01,7.0,-0.8
777.0,2142.7,79.79,-0.04,-0.08,6.88,0.35
785.0,2141.2,80.46,0.01,-0.03,6.67,1.51
791.0,2144.3,80.52,-0.02,-0.01,6.62,3.24
797.0,2146.5,81.13,-0.05,-0.09,6.56,3.6
801.0,2150.4,81.91,0.04,0.06,6.76,2.63
807.0,2150.5,79.78,0.01,-0.08,7.68,0.69
811.0,2138.9,77.31,-0.02,-0.07,8.11,3.61
814.0,2131.5,76.79,-0.09,-0.07,6.04,2.04
817.0,2130.6,78.33,0.03,-0.06,4.63,1.83
817.0,2133.9,76.95,0.04,-0.05,3.32,4.63
817.0,2140.4,77.53,-0.04,0.02,2.12,4.21
818.0,2145.2,80.78,-0.02,0.07,1.93,1.32
817.0,2139.8,77.67,-0.03,-0.04,1.43,2.12
818.0,2147.7,81.36,-0.06,0.06,1.49,1.55
819.0,2156.3,83.2,0.05,-0.04,2.03,1.96
822.0,2156.2,81.28,0.0,0.15,3.1,1.52
826.0,2158.8,81.63,-0.08,0.17,3.5,0.37
834.0,2174.6,86.4,0.02,0.17,4.27,-0.63
846.0,2177.1,84.9,0.01,-0.02,5.54,-0.65
857.0,2166.0,81.84,0.01,-0.03,6.71,-4.74
869.0,2159.7,81.82,0.02,-0.1,7.29,-3.12
880.0,2151.5,78.89,-0.01,0.06,6.71,-2.61
890.0,2144.2,77.62,0.03,0.03,5.35,-2.79
900.0,2142.6,77.77,-0.01,-0.12,4.31,0.31
905.0,2141.9,78.64,-0.09,-0.41,2.85,0.12
905.0,2141.7,80.71,0.02,-0.28,1.54,-0.15
899.0,2140.7,77.47,0.03,-0.01,0.41,-2.13
893.0,2139.7,80.46,-0.05,-0.05,-0.55,-0.29
875.0,2080.3,84.1,-0.07,0.14,-1.2,1.32
867.0,2035.2,86.4,-0.01,0.11,-0.9,2.16
861.0,1755.5,84.57,0.05,-0.05,-1.3,2.71
854.0,1641.3,85.19,0.0,-0.25,-0.96,3.63
841.0,1597.3,86.1,-0.03,-0.07,-1.3,-0.09
826.0,1465.1,86.82,0.01,-0.12,-3.56,-1.59
809.0,1381.9,85.23,0.01,0.05,-2.44,2.01
794.0,1466.7,85.46,0.04,0.1,-1.53,2.93
783.0,1603.1,83.64,0.0,0.03,-2.08,1.93
769.0,1641.9,83.87,0.03,0.0,-2.25,0.19
757.0,1657.8,85.77,-0.01,-0.05,-1.45,0.35
745.0,1658.8,87.71,0.0,0.28,-0.51,4.48
739.0,1545.9,86.02,-0.01,0.1,-0.7,2.8
737.0,1448.2,85.06,0.11,-0.31,0.29,4.92
733.0,1402.5,81.38,0.06,-0.07,1.51,-2.13
731.0,1386.0,79.8,0.02,0.04,2.48,-5.98
728.0,1371.4,78.89,0.05,-0.01,2.6,-11.0
725.0,1359.3,76.46,0.05,-0.19,-0.2,-12.44
719.0,1346.9,74.7,0.08,-0.04,-2.05,-6.89
712.0,1335.8,72.59,0.03,-0.09,-3.25,-6.15
703.0,1333.1,74.65,-0.03,0.06,-2.93,-8.01
692.0,1340.5,75.93,0.07,-0.08,-1.51,-10.0
683.0,1343.1,73.36,-0.02,0.09,-0.09,-17.03
673.0,1387.1,71.59,0.08,-0.05,0.32,-18.54
660.0,1430.2,69.24,0.05,0.02,0.18,-18.14
647.0,1444.0,70.98,0.03,0.04,-0.38,-18.46
636.0,1444.0,71.05,0.01,0.1,-0.48,-19.64
627.0,1438.7,69.72,0.02,0.06,-0.54,-20.61
619.0,1440.2,71.04,0.01,0.11,0.09,-22.21
610.0,1439.0,69.59,0.0,0.25,-0.53,-24.93
606.0,1434.7,68.13,0.04,0.02,-0.33,-23.12
600.0,1419.1,65.96,0.06,0.04,-2.2,-22.02
591.0,1422.5,68.04,0.02,0.1,-4.11,-22.99
575.0,1423.1,67.57,0.01,0.05,-4.87,-27.87
564.0,1428.5,69.16,0.01,0.02,-5.91,-22.75
553.0,1438.3,71.92,-0.02,0.01,-5.24,-17.64
541.0,1438.0,70.84,0.0,-0.05,-4.41,-11.8
532.0,1440.1,72.85,-0.04,0.16,-2.56,-7.49
525.0,1442.8,72.88,0.0,0.06,-1.69,-2.94
